,COVID-19 doses (daily),Daily new confirmed deaths due to COVID-19
1453,13029.0,0.0
1454,14332.0,0.0
1455,11078.0,353654.92
1456,8086.0,0.0
1457,4154.0,0.0
1458,9674.0,0.0
1459,8879.0,0.0
1460,7765.0,0.0
1461,8631.0,0.0
1462,9556.0,707309.84
1463,9585.0,353654.92
1464,3414.0,707309.84
1465,9950.0,707309.84
1466,9677.0,353654.92
1467,9263.0,0.0
1468,10254.0,707309.84
1469,12070.0,1060964.8
1470,13284.0,1060964.8
1471,14268.0,707309.84
1472,12934.0,1060964.8
1473,14648.0,1060964.8
1474,14394.0,1060964.8
1475,13687.0,1414619.7
1476,12089.0,1414619.7
1477,10173.0,1768274.7000000002
1478,8621.0,1060964.8
1479,3356.0,1414619.7
1480,8605.0,1414619.7
1481,7954.0,1414619.7
1482,7525.0,1768274.7000000002
1483,7350.0,1768274.7000000002
1484,7253.0,1414619.7
1485,7711.0,1768274.7000000002
1486,7995.0,2121929.6
1487,8503.0,2475584.5
1488,9551.0,2475584.5
1489,9911.0,2475584.5
1490,8863.0,3219929.5
1491,8553.0,3219929.5
1492,8824.0,3219929.5
1493,7733.0,3219929.5
1494,6934.0,3219929.5
1495,6828.0,1060964.8
1496,6551.0,1768274.7000000002
1497,5891.0,2475584.5
1498,5608.0,3182894.5
1499,5759.0,3219929.5
1500,6634.0,3182894.5
1501,6147.0,3182894.5
1502,5805.0,1060964.8
1503,5973.0,3219929.5
1504,5981.0,3182894.5
1505,5720.0,3219929.5
1506,5607.0,2829239.4
1507,5488.0,2475584.5
1508,5611.0,2829239.4
1509,5172.0,1768274.7000000002
1510,2472.0,1414619.7
1511,8614.0,3219929.5
1512,8258.0,1414619.7
1513,8607.0,2475584.5
1514,8205.0,2475584.5
1515,7112.0,1414619.7
1516,10758.0,1060964.8
1517,9202.0,353654.92
1518,10133.0,353654.92
1519,5009.0,1768274.7000000002
1520,9944.0,707309.84
1521,10313.0,707309.84
1522,9865.0,2121929.6
1523,11284.0,707309.84
1524,9006.0,1060964.8
1525,5146.0,1768274.7000000002
1526,3966.0,1060964.8
1527,3891.0,1414619.7
1528,3488.0,2121929.6
1529,2541.0,0.0
1530,30.0,65966.845
1531,23526.0,87955.795
1532,147230.0,131933.69
1533,2829.0,0.0
1534,1973.0,0.0
1535,1421.0,0.0
1536,225.0,0.0
1537,2221.0,0.0
1538,1709.0,0.0
1539,1686.0,0.0
1540,260.0,0.0
1541,114.0,0.0
1542,1325.0,0.0
1543,135.0,0.0
1544,432.0,0.0
1545,305.0,0.0
1546,20102.0,3219929.5
1547,2806.0,2488553.5
1548,129.0,1453491.4000000001
1549,3312.0,3219929.5
1550,446.0,2752824.8
1551,10463.0,3219929.5
1552,10731.0,3219929.5
1553,10120.0,3219929.5
1554,18234.0,3219929.5
1555,27894.0,3219929.5
1556,10211.0,2488553.5
1557,1179.0,2466531.0
1558,19831.0,3219929.5
1559,19397.0,3219929.5
1560,16778.0,3219929.5
1561,16650.0,3219929.5
1562,17447.0,3219929.5
1563,5885.0,2730802.0
1564,1064.0,1849898.2
1565,9834.0,3219929.5
1566,13257.0,3219929.5
1567,19434.0,3219929.5
1568,14121.0,3219929.5
1569,9224.0,3219929.5
1570,3950.0,2818892.5
1571,304.0,1893943.4
1572,14220.0,3219929.5
1573,12817.0,3219929.5
1574,10115.0,3219929.5
1575,16050.0,3219929.5
1576,23505.0,3219929.5
1577,9316.0,2268327.5
1578,625.0,1563604.5
1579,19536.0,3219929.5
1580,23884.0,3219929.5
1581,26625.0,2884960.2
1582,28143.0,3219929.5
1583,33048.0,3219929.5
1584,10932.0,1849898.2
1585,1385.0,1475514.0
1586,23437.0,3219929.5
1587,20205.0,2973050.6
1588,15629.0,3193276.6
1589,17862.0,3061141.0
1590,15844.0,3219929.5
1591,3036.0,2708779.6
1592,153.0,1387423.6
1593,1318.0,1915966.0
1594,1313.0,2114169.4000000004
1595,24417.0,3219929.5
1596,63849.0,3105186.1999999997
1597,67912.0,3219929.5
1598,32625.0,1761807.7999999998
1599,20182.0,1563604.5
1600,67596.0,3219929.5
1601,86984.0,3017095.8
1602,93871.0,2973050.6
1603,79500.0,2862937.6999999997
1604,81726.0,2862937.6999999997
1605,17912.0,1783830.4000000001
1606,6129.0,1167197.7
1607,74589.0,3219929.5
1608,75648.0,3219929.5
1609,71530.0,3127209.0
1610,112105.0,2752824.8
1611,111767.0,2642711.6
1612,54951.0,1871920.8
1613,11798.0,968994.2999999999
1614,102525.0,3219929.5
1615,115832.0,3219929.5
1616,164016.0,3219929.5
1617,186920.0,3219929.5
1618,161703.0,3219929.5
1619,46402.0,2048101.7000000002
1620,9174.0,1695740.0
1621,137654.0,3219929.5
1622,133761.0,3219929.5
1623,139623.0,3219929.5
1624,138987.0,3219929.5
1625,126226.0,3219929.5
1626,50892.0,1982033.7
1627,19636.0,1607649.7000000002
1628,83081.0,3219929.5
1629,106510.0,3219929.5
1630,37469.0,3017095.8
1631,103219.0,3219929.5
1632,93594.0,3219929.5
1633,55109.0,3219929.5
1634,20835.0,2268327.5
1635,120225.0,3219929.5
1636,163075.0,3219929.5
1637,174999.0,3219929.5
